Date,Company,Country,Pacient_Category,Treatments,Avg treatment time in minutes
03/01/2022 00:00,VetGroup,Portugal,Dogs,10,39.69
03/01/2022 00:00,VetGroup,Portugal,Cats,5,34.94
03/01/2022 00:00,VetGroup,Portugal,Birds,1,106.62
03/01/2022 00:00,VetGroup,Spain,Dogs,11,63.87
03/01/2022 00:00,VetGroup,Spain,Cats,5,54.65
03/01/2022 00:00,VetGroup,France,Dogs,24,104.33
03/01/2022 00:00,VetGroup,France,Cats,17,61.68
03/01/2022 00:00,VetGroup,France,Birds,1,105.8
03/01/2022 00:00,VetGroup,Germany,Dogs,10,108.29
03/01/2022 00:00,VetGroup,Germany,Cats,5,118.74
03/01/2022 00:00,VetGroup,Italy,Dogs,8,48.93
03/01/2022 00:00,VetGroup,Italy,Cats,5,113.9
03/01/2022 00:00,VetGroup,Italy,Birds,1,19.12
03/01/2022 00:00,VetGroup,Poland,Dogs,37,18.44
03/01/2022 00:00,VetGroup,Poland,Cats,16,21.16
03/01/2022 00:00,VetGroup,Poland,Birds,1,22.46
04/01/2022 00:00,VetGroup,Portugal,Dogs,9,43.84
04/01/2022 00:00,VetGroup,Portugal,Cats,4,34.2
04/01/2022 00:00,VetGroup,Portugal,Birds,1,48.88
04/01/2022 00:00,VetGroup,Spain,Dogs,13,44.77
04/01/2022 00:00,VetGroup,Spain,Cats,3,57.44
04/01/2022 00:00,VetGroup,Spain,Birds,1,42.94
04/01/2022 00:00,VetGroup,France,Dogs,20,114.46
04/01/2022 00:00,VetGroup,France,Cats,12,80.71
04/01/2022 00:00,VetGroup,France,Birds,1,102.81
04/01/2022 00:00,VetGroup,Germany,Dogs,15,134.55
04/01/2022 00:00,VetGroup,Germany,Cats,5,87.15
04/01/2022 00:00,VetGroup,Italy,Dogs,9,48.84
04/01/2022 00:00,VetGroup,Italy,Cats,6,23.67
04/01/2022 00:00,VetGroup,Italy,Birds,1,107.94
04/01/2022 00:00,VetGroup,Poland,Dogs,34,21.05
04/01/2022 00:00,VetGroup,Poland,Cats,13,26.49
04/01/2022 00:00,VetGroup,Poland,Birds,1,51.89
05/01/2022 00:00,VetGroup,Portugal,Dogs,7,48.72
05/01/2022 00:00,VetGroup,Portugal,Cats,4,44.85
05/01/2022 00:00,VetGroup,Portugal,Birds,1,79.55
05/01/2022 00:00,VetGroup,Spain,Dogs,17,52.29
05/01/2022 00:00,VetGroup,Spain,Cats,5,66.45
05/01/2022 00:00,VetGroup,Spain,Birds,1,2.94
05/01/2022 00:00,VetGroup,France,Dogs,16,119.08
05/01/2022 00:00,VetGroup,France,Cats,10,82.76
05/01/2022 00:00,VetGroup,France,Birds,2,48.35
05/01/2022 00:00,VetGroup,Germany,Dogs,15,177.12
05/01/2022 00:00,VetGroup,Germany,Cats,6,126.8
05/01/2022 00:00,VetGroup,Germany,Birds,1,205.88
05/01/2022 00:00,VetGroup,Italy,Dogs,16,35.67
05/01/2022 00:00,VetGroup,Italy,Cats,13,62.49
05/01/2022 00:00,VetGroup,Italy,Birds,2,35.52
05/01/2022 00:00,VetGroup,Poland,Dogs,29,20.54
05/01/2022 00:00,VetGroup,Poland,Cats,12,24.86
05/01/2022 00:00,VetGroup,Poland,Birds,1,38.59
06/01/2022 00:00,VetGroup,Portugal,Dogs,7,46.98
06/01/2022 00:00,VetGroup,Portugal,Cats,4,47.85
06/01/2022 00:00,VetGroup,Portugal,Birds,1,87.5
06/01/2022 00:00,VetGroup,Spain,Dogs,17,115.14
06/01/2022 00:00,VetGroup,Spain,Cats,5,64.28
06/01/2022 00:00,VetGroup,Spain,Birds,1,64.41
06/01/2022 00:00,VetGroup,France,Dogs,26,77.12
06/01/2022 00:00,VetGroup,France,Cats,14,63.82
06/01/2022 00:00,VetGroup,France,Birds,1,73.35
06/01/2022 00:00,VetGroup,Germany,Dogs,14,142.65
06/01/2022 00:00,VetGroup,Germany,Cats,4,121.8
06/01/2022 00:00,VetGroup,Italy,Dogs,9,49.44
06/01/2022 00:00,VetGroup,Italy,Cats,4,47.53
06/01/2022 00:00,VetGroup,Poland,Dogs,30,21.84
06/01/2022 00:00,VetGroup,Poland,Cats,13,22.63
06/01/2022 00:00,VetGroup,Poland,Birds,1,113.01
07/01/2022 00:00,VetGroup,Portugal,Dogs,8,45.15
07/01/2022 00:00,VetGroup,Portugal,Cats,4,43.11
07/01/2022 00:00,VetGroup,Portugal,Birds,1,109.15
07/01/2022 00:00,VetGroup,Spain,Dogs,17,56.09
07/01/2022 00:00,VetGroup,Spain,Cats,6,33.38
07/01/2022 00:00,VetGroup,France,Dogs,22,97.1
07/01/2022 00:00,VetGroup,France,Cats,12,67.64
07/01/2022 00:00,VetGroup,France,Birds,1,58.58
07/01/2022 00:00,VetGroup,Germany,Dogs,18,120.8
07/01/2022 00:00,VetGroup,Germany,Cats,5,147.86
07/01/2022 00:00,VetGroup,Germany,Birds,1,136.47
07/01/2022 00:00,VetGroup,Italy,Dogs,10,47.7
07/01/2022 00:00,VetGroup,Italy,Cats,4,28.99
07/01/2022 00:00,VetGroup,Italy,Birds,1,68.38
07/01/2022 00:00,VetGroup,Poland,Dogs,31,20.38
07/01/2022 00:00,VetGroup,Poland,Cats,11,24.8
07/01/2022 00:00,VetGroup,Poland,Birds,1,48.14
10/01/2022 00:00,VetGroup,Portugal,Dogs,10,33.75
10/01/2022 00:00,VetGroup,Portugal,Cats,5,43.11
